current mass in position 19,x_c,x_f
3.001,48.639,46
3.002,48.639,46
3.003,48.639,46
3.004,48.639,46
3.005,48.639,46
3.006,48.639,46
3.007,48.639,46
3.008,48.639,46
3.009,48.639,46
3.01,48.639,46
3.011,48.639,46
3.012,48.639,46
3.013,48.639,46
3.014,48.639,46
3.015,48.638,46
3.016,48.638,46
3.017,48.638,46
3.018,48.638,46
3.019,48.638,46
3.02,48.638,46
3.021,48.638,46
3.022,48.638,46
3.023,48.638,46
3.024,48.638,46
3.025,48.638,46
3.026,48.638,46
3.027,48.638,46
3.028,48.638,46
3.029,48.638,46
3.03,48.638,46
3.031,48.638,46
3.032,48.638,46
3.033,48.637,46
3.034,48.637,46
3.035,48.637,46
3.036,48.637,46
3.037,48.637,46
3.038,48.637,46
3.039,48.637,46
3.04,48.637,46
3.041,48.637,46
3.042,48.637,46
3.043,48.637,46
3.044,48.637,46
3.045,48.637,46
3.046,48.637,46
3.047,48.637,46
3.048,48.637,46
3.049,48.637,46
3.05,48.636,46
3.051,48.636,46
3.052,48.636,46
3.053,48.636,46
3.054,48.636,46
3.055,48.636,46
3.056,48.636,46
3.057,48.636,46
3.058,48.636,46
3.059,48.636,46
3.06,48.636,46
3.061,48.636,46
3.062,48.636,46
3.063,48.636,46
3.064,48.636,46
3.065,48.636,46
3.066,48.636,46
3.067,48.636,46
3.068,48.635,46
3.069,48.635,46
3.07,48.635,46
3.071,48.635,46
3.072,48.635,46
3.073,48.635,46
3.074,48.635,46
3.075,48.635,46
3.076,48.635,46
3.077,48.635,46
3.078,48.635,46
3.079,48.635,46
3.08,48.635,46
3.081,48.635,46
3.082,48.635,46
3.083,48.635,46
3.084,48.635,46
3.085,48.635,46
3.086,48.634,46
3.087,48.634,46
3.088,48.634,46
3.089,48.634,46
3.09,48.634,46
3.091,48.634,46
3.092,48.634,46
3.093,48.634,46
3.094,48.634,46
3.095,48.634,46
3.096,48.634,46
3.097,48.634,46
3.098,48.634,46
3.099,48.634,46
3.1,48.634,46
3.101,48.634,46
3.102,48.634,46
3.103,48.633,46
3.104,48.633,46
3.105,48.633,46
3.106,48.633,46
3.107,48.633,46
3.108,48.633,46
3.109,48.633,46
3.11,48.633,46
3.111,48.633,46
3.112,48.633,46
3.113,48.633,46
3.114,48.633,46
3.115,48.633,46
3.116,48.633,46
3.117,48.633,46
3.118,48.633,46
3.119,48.633,46
3.12,48.633,46
3.121,48.632,46
3.122,48.632,46
3.123,48.632,46
3.124,48.632,46
3.125,48.632,46
3.126,48.632,46
3.127,48.632,46
3.128,48.632,46
3.129,48.632,46
3.13,48.632,46
